date,open,close,high,low,volume,指数
2025-07-01,3445.850,3457.750,3459.590,3441.040,444356739.000,上证指数
2025-07-02,3458.170,3454.790,3461.330,3447.960,498116776.000,上证指数
2025-07-03,3456.150,3461.150,3463.620,3446.970,438543465.000,上证指数
2025-07-04,3459.590,3472.320,3497.220,3455.490,500195210.000,上证指数
2025-07-07,3467.980,3473.130,3474.800,3462.790,436631340.000,上证指数
2025-07-08,3474.630,3497.480,3499.890,3474.630,493484773.000,上证指数
2025-07-09,3498.720,3493.050,3512.670,3491.200,523920088.000,上证指数
2025-07-10,3491.500,3509.680,3526.590,3491.500,564159805.000,上证指数
2025-07-11,3511.370,3510.180,3555.220,3506.800,664185249.000,上证指数
2025-07-14,3513.250,3519.650,3532.120,3513.250,572084705.000,上证指数
2025-07-15,3519.810,3505.000,3527.040,3483.380,572074726.000,上证指数
2025-07-16,3502.900,3503.780,3511.810,3489.140,470878578.000,上证指数
2025-07-17,3500.370,3516.830,3517.280,3499.190,472211056.000,上证指数
2025-07-18,3519.480,3534.480,3536.010,3518.230,493484088.000,上证指数
2025-07-21,3542.820,3559.790,3560.630,3542.570,633649736.000,上证指数
2025-07-22,3561.630,3581.860,3584.720,3547.250,716155230.000,上证指数
2025-07-23,3588.880,3582.300,3613.020,3577.590,767672388.000,上证指数
2025-07-24,3578.910,3605.730,3608.730,3577.110,773265835.000,上证指数
2025-07-25,3604.450,3593.660,3610.030,3586.220,697189549.000,上证指数
2025-07-28,3594.230,3597.940,3606.270,3582.150,594187877.000,上证指数
2025-07-29,3595.810,3609.710,3611.350,3585.940,610642058.000,上证指数
2025-07-30,3608.350,3615.720,3636.170,3593.730,637221916.000,上证指数
2025-07-31,3604.700,3573.210,3606.370,3562.610,654509349.000,上证指数
2025-08-01,3568.260,3559.950,3581.750,3550.040,509563080.000,上证指数
2025-08-04,3547.160,3583.310,3583.310,3547.160,458573618.000,上证指数
2025-08-05,3588.810,3617.600,3617.600,3586.970,499797780.000,上证指数
2025-08-06,3615.810,3633.990,3634.310,3613.990,512467273.000,上证指数
2025-08-07,3637.780,3639.670,3645.120,3622.520,535501202.000,上证指数
2025-08-08,3634.850,3635.130,3645.370,3625.450,526407572.000,上证指数
2025-08-11,3637.050,3647.550,3656.850,3629.630,551393348.000,上证指数
2025-08-12,3647.960,3665.920,3669.040,3647.960,536623739.000,上证指数
2025-08-13,3668.660,3683.460,3688.630,3666.550,613528884.000,上证指数
2025-08-14,3685.520,3666.440,3704.770,3662.570,647829587.000,上证指数
2025-08-15,3659.810,3696.770,3702.260,3658.380,678521703.000,上证指数
2025-08-18,3712.500,3728.030,3745.940,3702.380,776016669.000,上证指数
2025-08-19,3728.490,3727.290,3746.670,3718.150,696099750.000,上证指数
2025-08-20,3716.680,3766.210,3767.430,3704.990,679836426.000,上证指数
2025-08-21,3770.680,3771.100,3787.980,3757.990,691552959.000,上证指数
2025-08-22,3772.280,3825.760,3825.760,3772.280,698136277.000,上证指数
2025-08-25,3848.160,3883.560,3883.560,3839.970,885474802.000,上证指数
2025-08-26,3871.470,3868.380,3888.600,3859.760,734565305.000,上证指数
2025-08-27,3869.610,3800.350,3887.200,3800.350,858633499.000,上证指数
2025-08-28,3796.710,3843.600,3845.090,3761.420,788351947.000,上证指数
2025-08-29,3842.820,3857.930,3867.610,3839.210,739462366.000,上证指数
2025-09-01,3869.750,3875.530,3879.050,3853.660,747709536.000,上证指数
