代码,名称,最新价,涨跌幅,昨收,今开,最高,最低,成交量,成交额,换手率,市盈率-动态,市净率,总市值,流通市值
920000,安徽凤凰,13.2,13.891,11.59,14.65,14.74,13.04,4722319,63637726,8.19934,18.333,1.793,1210176000.0,760239810.0
920001,纬达光电,11.41,1.422,11.25,11.28,11.48,10.61,1521873,17217461,1.71593,-87.769,2.472,1753217287.64,1011964538.1999999
920002,万达轴承,49.45,0.406,49.25,49.25,49.5,48.03,684712,33556322,1.53533,35.833,4.234,3150170464.75,2205329215.85
920003,中诚咨询,16.21,2.595,15.8,15.7,16.29,15.7,252045,4039177,1.29477,8.487,2.243,1468626000.0,315550668.2
920005,鼎佳精密,23.3,0.345,23.22,23.08,23.82,22.63,291264,6721761,1.35472,27.093,2.952,1933900000.0,500950000.0
920006,晟楠科技,15.55,10.127,14.12,14.47,16.5,13.95,3129722,47659584,6.54793,172.778,4.467,1403965960.0,743245091.6
920007,酉立智能,34.4,3.614,33.2,33.75,34.66,32.62,210205,7111865,1.97508,14.041,2.363,1531916280.0,366114040.0
920008,成电光信,18.65,2.192,18.25,18.18,18.98,18.0,1732382,26858244,5.08497,73.339,3.652,1188937500.0,635381124.45
920009,丹娜生物,35.01,1.921,34.35,34.71,35.26,34.0,323062,11206197,3.20498,17.505,3.9,2714885459.9999995,352900800.0
920010,凯添燃气,9.0,6.257,8.47,8.55,9.23,8.4,13698169,121387541,7.8953,75.0,3.032,2110500000.0,1561480677.0000002
920011,晨光电机,18.41,4.011,17.7,17.89,18.47,17.6,872321,15835558,4.6899,12.192,1.793,1521893339.47,342426018.41
920012,创达新材,46.89,0.407,46.7,47.09,47.38,46.11,903787,42253861,4.68344,26.492,3.772,2312491948.2,904860243.9000001
920014,特瑞斯,9.81,4.14,9.42,9.38,9.87,9.31,5418666,52061713,8.08186,140.143,1.52,1195414648.83,657733993.38
920015,锦华新材,47.72,1.575,46.98,46.68,49.49,46.68,2833179,136804314,7.08075,26.246,3.79,6469241349.24,1909393636.8000002
920016,中草香料,12.01,2.039,11.77,11.71,12.04,11.19,547689,6439053,1.59969,48.04,2.369,924552967.29,411188988.18
920017,星昊医药,16.17,-0.308,16.22,16.07,16.28,15.87,1795815,28846391,1.46514,19.25,1.189,2003341999.8899999,1981955557.89
920018,宏远股份,16.24,25.019,12.99,13.1,16.48,12.82,8075595,120773231,14.04673,15.767,2.878,2688181751.92,933652865.5999999
920019,铜冠矿建,14.14,1.873,13.88,14.0,14.28,13.39,2843248,39561113,1.6971,74.421,3.179,2973171138.0,2368954317.24
920020,泰凯英,15.22,-0.066,15.23,15.14,15.31,15.0,394003,5966667,0.70863,16.131,2.863,3423662900.0,846245713.22
920021,流金科技,6.35,0.794,6.3,6.36,6.37,6.17,7955243,49928564,3.21353,211.667,3.023,1962149892.05,1571972173.55
920022,世昌股份,18.5,1.872,18.16,18.0,18.53,17.79,296183,5398721,1.78262,12.5,2.507,1115938500.0,307377500.0
920023,*ST田野,1.73,1.17,1.71,1.7,1.78,1.69,4868855,8454090,1.81127,45.526,0.469,566235920.0,465038756.90000004
920026,卓兆点胶,16.53,1.101,16.35,16.24,16.79,16.09,726299,11928871,0.83847,26.238,2.971,1899431620.32,1431863924.6100001
920027,交大铁发,10.97,1.857,10.77,10.69,11.05,10.54,1338892,14549755,1.85831,17.141,2.436,1129521113.5,790376707.25
920028,新恒泰,13.3,1.141,13.15,13.14,13.59,13.04,1667415,22106543,2.56685,14.778,1.928,2185988000.0,863962680.0
920029,开发科技,31.88,2.972,30.96,31.1,32.1,30.3,1066744,33489701,0.52976,5.818,1.744,6597283320.04,6419510079.04
920030,德众汽车,4.23,2.174,4.14,4.17,4.28,4.07,1536613,6443618,1.36619,-24.882,1.735,756491850.63,475765193.43
920033,康普化学,13.5,1.657,13.28,13.4,13.55,13.02,685036,9127537,0.82702,71.053,2.085,1608325875.0,1118235442.5
920035,精创电气,23.26,3.793,22.41,22.22,23.54,22.2,828522,19140967,5.26487,17.489,2.723,1614709200.0000002,366037967.99999994
920036,觅睿科技,29.28,4.46,28.03,28.4,29.58,27.81,816532,23667467,6.25155,15.093,2.683,1593471094.56,382434190.56
920037,广信科技,38.99,5.807,36.85,37.18,39.31,36.1,1930291,73486136,2.46563,15.722,5.502,4992594288.29,3052446390.7
920039,国义招标,7.42,2.204,7.26,7.27,7.49,7.06,808736,5932217,0.52577,37.1,2.099,1141344400.0,1141343658.0
920045,蘅东光,289.45,-3.513,299.99,306.0,312.98,287.0,777085,231531696,2.75772,54.924,23.851,27584633338.15,8156281008.05
920046,亿能电力,24.15,-2.068,24.66,24.0,26.5,23.5,13714235,343575613,24.52165,161.0,9.456,2442772500.0,1350637943.55
