序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,900929,锦旅B股,0.0222,384043422.21,6.1033966377,66.2696,2937985.59,-91.0,230.4982,7.41570502195,0.28,-0.426728663156,11.8780220027,旅游及景区,2026-08-26
2,688813,泰金新能,0.62,1030349753.2,-11.4976547164,11.9908,86880941.79,-16.44,-39.7592,11.400615699813,6.68,0.066149663375,22.1004808331,专用设备,2026-08-26
3,688783,西安奕材,-0.07,1588924027.59,21.9957649413,19.6837,-289272815.5,14.983394741,17.2908,3.008282786745,-2.36,0.080125583159,4.2461358478,半导体,2026-08-26
4,688772,珠海冠宇,-0.18,7327116209.25,20.1634295967,1.5484,-203208028.11,-273.94,-39.8594,5.974680968136,-2.68,0.586716277212,19.6868371479,电池,2026-08-26
5,688768,容知日新,-0.45,193988169.33,-24.3215075558,73.8179,-39583432.08,-378.06,26.6076,11.795041749616,-3.65,-0.367659376266,62.7161086937,通用设备,2026-08-26
6,688719,爱科赛博,-0.15,414995151.09,-7.2048144053,60.5354,-16830582.97,1.2347869973,104.1928,14.408605065936,-1.0,-0.597730628666,39.7480944119,其他电源设备Ⅱ,2026-08-26
7,688698,伟创电气,0.52,1066439112.31,18.8398169262,27.6964,110251144.35,-21.76,28.238,11.204743183673,4.59,-0.70205346948,32.4987874141,自动化设备,2026-08-26
8,688682,霍莱沃,0.04,118385527.08,15.8923462307,-51.9994,4376508.81,1194.5,-132.5378,5.847128746831,0.71,-0.208205336871,26.1873671002,军工电子Ⅱ,2026-08-26
9,688679,通源环境,-0.05,570590979.23,-11.1460041617,19.9611,-6480857.13,35.1379757112,-1410.8161,8.285914381519,-0.6,0.057619808007,16.9322506045,环境治理,2026-08-26
10,688638,誉辰智能,-1.35,349754236.63,12.1656688941,25.8229,-75087919.5,-36.79,35.8282,13.20646870375,-9.7,-1.21133247,19.2888500337,电池,2026-08-26
11,688622,*ST禾信,-0.28,34699247.72,-34.3013101685,-18.8209,-19438003.63,-11.3315088349,-53.1959,4.033278900471,-6.61,-0.061249231805,46.8975513282,通用设备,2026-08-26
12,688583,思看科技,0.11,185101612.27,4.6667641453,12.1723,14121534.22,-73.85,-5.9652,9.585653592679,1.19,-0.147133287654,72.3536735027,通用设备,2026-08-26
13,688563,航材股份,0.52,1337744320.29,-1.6817284732,3.2971,232144597.1,-17.69,-7.0485,23.233914751778,2.25,-0.767765049422,25.8607978978,航空装备Ⅱ,2026-08-26
14,688529,豪森智能,-2.53,728777029.63,-13.5398096311,-70.0752,-424958321.84,-181.7970707959,-251.2552,3.940495211465,-48.56,1.765221797851,6.289856057,专用设备,2026-08-26
15,688522,纳睿雷达,0.15,234424378.18,51.343779013,36.992,61929451.35,8.75,34.444,5.556191710593,2.65,-0.335444174531,62.7183076869,军工电子Ⅱ,2026-08-26
16,688518,联赢激光,0.29,1742253264.37,13.6239230359,-3.2262,98382409.98,69.86,14.1405,9.68773745962,2.97,-0.127835198142,28.2273269408,自动化设备,2026-08-26
17,688517,金冠电气,0.13,301303298.99,-11.518841188,40.5975,18297599.79,-56.78,-71.9254,5.467959108105,2.24,-0.131115532817,29.2261774183,电网设备,2026-08-26
18,688362,甬矽电子,0.1,2411414302.45,19.9537086137,5.7254,39360723.27,29.82,-52.0694,8.455179035415,1.45,1.77211234955,16.7438094014,半导体,2026-08-26
19,688359,三孚新科,0.12,341147683.67,50.0876075871,16.5596,11607573.86,152.0273545616,8.4168,7.227344485256,1.83,-0.316882774661,30.7323114735,电子化学品Ⅱ,2026-08-26
20,688356,键凯科技,0.05,185061683.5,42.6526555351,33.8316,2919813.69,-86.76,-186.974,21.421943753328,0.22,0.968542105202,72.0583816368,化学制药,2026-08-26
21,688337,普源精电,0.19,486842894.9,37.1510653198,10.2413,37147734.08,129.08,-39.5369,16.076413406623,1.17,-0.070628380175,54.6454428188,通用设备,2026-08-26
22,688326,经纬恒润,-3.4,2623186406.57,-9.8056884527,24.0112,-381992695.69,-339.2516852341,-15.2375,31.006687840251,-9.56,-5.474323527509,16.0953309457,软件开发,2026-08-26
23,688315,诺禾致源,0.16,1113829754.77,7.0905648132,0.1744,63122634.84,-19.82,14.3344,6.441747127126,2.36,-0.077809582749,41.8636106086,医疗服务,2026-08-26
24,688311,盟升电子,-0.31,133998905.04,11.8980997033,925.843,-52904450.77,-42.4733976306,-146.2057,10.037118195755,-3.09,-0.58735961964,33.0493261022,军工电子Ⅱ,2026-08-26
25,688310,迈得医疗,-0.1,159924358.14,13.4210054404,201.2398,-16362932.2,-370.68,114.0368,4.720180614041,-1.98,-0.106827326158,36.6461850663,自动化设备,2026-08-26
26,688308,欧科亿,2.35,1206729911.37,99.9622170872,-12.6346,370884709.02,47734.24,-18.0999,18.90012807867,13.18,-1.954444513281,46.0025652144,通用设备,2026-08-26
27,688292,浩瀚深度,-0.3,150413566.12,-2.1464710675,54.763,-47789747.28,-1989.69,28.7352,6.025745243172,-4.72,-0.538501877832,57.6329778199,计算机设备,2026-08-26
28,688268,华特气体,0.78,872389094.0,28.9507633274,27.0781,92832735.88,19.16,74.0318,20.833938050707,4.34,1.04516915402,30.0875222805,电子化学品Ⅱ,2026-08-26
29,688257,新锐股份,1.6073,2057232334.56,80.3947563439,-15.9439,565140212.86,460.51,-19.0413,8.078589651845,21.51,0.24312898221,49.1420313319,通用设备,2026-08-26
30,688251,井松智能,-0.48,219915356.74,-38.4638578287,11.7074,-47899749.57,-9704.43,-74.2824,8.073619044623,-5.73,-0.435902895918,14.5104092652,IT服务Ⅱ,2026-08-26
31,688196,卓越新能,0.13,1424225555.04,8.5923536396,10.1372,16080308.88,-86.3,-146.6327,24.430566983326,0.5,-1.462517976399,14.8632269496,化学制品,2026-08-26
32,688177,百奥泰,-0.61,518548263.68,17.3483891381,6.111,-251968686.24,-101.6844112378,34.0507,0.299315457544,-100.77,0.3502305902,80.4989785768,生物制品,2026-08-26
33,688175,高凌信息,0.01,91682301.07,-3.7000476694,-51.1551,2188323.45,106.62,-144.5726,10.162316237796,0.13,-0.307737057416,41.1446904034,军工电子Ⅱ,2026-08-26
34,688160,步科股份,0.4,447690762.94,43.9989122016,36.8714,36334919.48,39.16,72.9156,14.66114066738,2.78,-0.197981604405,33.1777876641,自动化设备,2026-08-26
35,688106,金宏气体,0.13,1473208550.76,12.121324994,22.1569,67893369.33,-17.41,1194.3722,7.441484746857,1.87,0.400966406975,26.977130334,电子化学品Ⅱ,2026-08-26
36,688091,上海谊众,0.2,165835947.86,3.4487130424,9.5,42303569.28,11.31,32.8523,7.21130181752,2.91,0.187268922163,85.2227296336,化学制药,2026-08-26
37,688087,英科再生,0.83,2146353635.1,28.831144604,10.4107,153607016.5,5.34,100.93,15.244214675882,5.29,1.404373621005,28.6501746112,家居用品,2026-08-26
38,688080,映翰通,0.51,315667776.25,-10.1765571349,34.8065,37226818.88,-44.72,200.6044,16.184043480046,3.16,0.770725020152,48.5790166363,通信设备,2026-08-26
39,688069,德林海,-0.04,167522159.35,54.9463888691,146.7826,-5678239.72,-83.5962024325,120.3897,7.968994614393,-0.44,-0.403297348779,49.1683369768,环境治理,2026-08-26
40,688061,灿瑞科技,-0.21,307600045.13,4.7873091989,34.1715,-24059262.66,10.30532706,85.4227,19.601717469457,-1.04,-0.694542369016,28.3142662262,半导体,2026-08-26
41,688055,龙腾光电,-0.056,957577718.81,-25.7388337026,12.0036,-188014931.67,-55.1910777036,-69.7977,1.166651334025,-4.72,0.007223577069,2.1620668833,光学光电子,2026-08-26
42,688037,芯源微,0.04,896820058.59,26.4696339043,71.2815,8062169.93,-49.37,29.7643,13.950731834239,0.29,-2.233995338503,34.9317599188,半导体,2026-08-26
43,605577,龙版传媒,0.177,659414638.4,5.6181281173,-77.2344,78677999.37,-34.46,-136.1851,8.802228433657,2.0,0.050119876827,43.8149789943,出版,2026-08-26
44,605488,福莱新材,0.18,1714712331.92,28.5036080857,9.4574,51973346.35,2.04,75.9326,7.462096960953,2.53,0.191282494433,13.8942781139,塑料,2026-08-26
45,605389,长龄液压,0.38,550517726.55,18.3400480498,8.7951,71944669.16,9.44,-9.1369,11.347812375798,3.38,-0.025666616026,29.5778184129,工程机械,2026-08-26
46,605305,中际联合,1.24,962031889.01,17.548461864,19.3864,263429282.8,0.52,4.4792,14.645340585357,8.63,0.303540829851,48.8403774124,工程机械,2026-08-26
47,605286,同力天启,0.12,958920945.14,-14.5359953047,46.2665,19587219.21,-83.09,15.3707,12.857080692321,0.91,-0.71955254244,16.3360059746,专用设备,2026-08-26
48,605277,新亚电子,0.33,2213191891.48,13.7611183463,21.6678,128922791.11,30.01,89.8813,4.531776815658,7.3,0.212498190859,15.7160656059,消费电子,2026-08-26
49,605196,华通线缆,0.32,4842058564.12,41.3535533235,27.052,163435861.15,18.61,53.2126,6.699611373011,4.78,-0.959331270209,17.5278857792,电网设备,2026-08-26
50,605169,洪通燃气,0.3571,1335288510.97,-10.1982762126,40.0321,98956337.24,35.77,2055.2522,7.278364280755,4.8,0.55660605642,17.5558538034,燃气Ⅱ,2026-08-26
51,605167,利柏特,0.19,950537693.48,-33.9966479964,-2.2362,93649798.65,-22.97,79.5505,5.570786645825,4.5,-0.068197336477,23.5843852872,专业工程,2026-08-26
52,605001,威奥股份,-0.1,877548274.41,3.9153939871,-7.0947,-40327435.08,-191.68,-530.3748,6.711276135724,-1.49,0.172180128485,22.9659345881,轨交设备Ⅱ,2026-08-26
53,603987,康德莱,0.26,1088806002.98,-3.2079662932,2.8536,112243830.07,-10.23,7.5956,6.476205869591,4.03,0.266200833566,31.2044468895,医疗器械,2026-08-26
54,603979,金诚信,2.59,7640767151.27,20.9742942777,23.8218,1614142522.6,45.3,68.3655,19.565827241789,13.67,2.196963732592,39.5736206273,工业金属,2026-08-26
55,603931,格林达,0.31,303186586.35,-3.8085019847,4.8239,60936898.66,-0.74,7.8598,10.71113888843,3.13,0.41506540933,33.173776347,电子化学品Ⅱ,2026-08-26
