登记日,代码,名称,评级,总分,入选价,基准,基准收盘,T5价,T5收益,T5超额,T10价,T10收益,T10超额,T20价,T20收益,T20超额,状态
20260730,301308,江波龙,G1,77.36,338.78,沪深300,4549.72,366.33,8.13,5.9,406.45,19.97,17.42,,,,跟踪中
20260730,600961,株冶集团,G1,76.72,21.82,沪深300,4549.72,26.97,23.6,21.37,28.75,31.76,29.21,,,,跟踪中
20260730,601002,晋亿实业,G2,75.91,4.76,沪深300,4549.72,5.42,13.87,11.63,5.26,10.5,7.95,,,,跟踪中
20260730,688525,佰维存储,G2,74.57,219.84,沪深300,4549.72,232.94,5.96,3.73,242.0,10.08,7.53,,,,跟踪中
20260730,603629,利通电子,G2,75.11,87.28,沪深300,4549.72,122.52,40.38,38.14,137.5,57.54,54.99,,,,跟踪中
20260730,600150,中国船舶,G2,75.29,34.63,沪深300,4549.72,34.9,0.78,-1.45,33.42,-3.49,-6.05,,,,跟踪中
20260730,605117,德业股份,G1,75.38,83.23,沪深300,4549.72,83.5,0.32,-1.91,90.31,8.51,5.95,,,,跟踪中
20260730,600989,宝丰能源,G2,74.32,23.88,沪深300,4549.72,23.47,-1.72,-3.95,22.89,-4.15,-6.7,,,,跟踪中
20260730,600185,珠免集团,G2,74.16,4.79,沪深300,4549.72,4.74,-1.04,-3.28,4.64,-3.13,-5.68,,,,跟踪中
20260730,601899,紫金矿业,G2,74.03,32.15,沪深300,4549.72,34.5,7.31,5.08,32.53,1.18,-1.37,,,,跟踪中
20260730,601600,中国铝业,G2,74.3,9.55,沪深300,4549.72,9.61,0.63,-1.6,9.26,-3.04,-5.59,,,,跟踪中
20260730,600267,海正药业,G2,74.73,11.52,沪深300,4549.72,11.92,3.47,1.24,14.18,23.09,20.54,,,,跟踪中
20260730,603444,吉比特,G2,74.7,383.34,沪深300,4549.72,383.52,0.05,-2.19,390.3,1.82,-0.74,,,,跟踪中
20260731,301308,江波龙,G1,77.0,346.99,沪深300,4588.2,386.6,11.42,9.1,419.26,20.83,17.5,,,,跟踪中
20260731,600150,中国船舶,G2,76.85,35.18,沪深300,4588.2,34.85,-0.94,-3.25,33.65,-4.35,-7.68,,,,跟踪中
20260731,605117,德业股份,G1,75.96,81.81,沪深300,4588.2,84.82,3.68,1.36,95.59,16.84,13.51,,,,跟踪中
20260731,600267,海正药业,G1,74.83,11.58,沪深300,4588.2,13.11,13.21,10.9,14.37,24.09,20.76,,,,跟踪中
20260731,603444,吉比特,G2,74.7,389.35,沪深300,4588.2,382.67,-1.72,-4.03,389.8,0.12,-3.22,,,,跟踪中
20260731,600346,恒力石化,G2,74.37,16.72,沪深300,4588.2,17.89,7.0,4.68,17.46,4.43,1.09,,,,跟踪中
20260731,600185,珠免集团,G2,74.16,4.79,沪深300,4588.2,4.7,-1.88,-4.19,4.64,-3.13,-6.46,,,,跟踪中
20260731,688525,佰维存储,G2,74.12,225.99,沪深300,4588.2,244.88,8.36,6.04,256.78,13.62,10.29,,,,跟踪中
20260731,688380,中微半导,G2,73.82,35.27,沪深300,4588.2,40.3,14.26,11.95,47.05,33.4,30.07,,,,跟踪中
20260731,603317,天味食品,G2,73.26,15.16,沪深300,4588.2,14.19,-6.4,-8.71,14.66,-3.3,-6.63,,,,跟踪中
20260731,600711,盛屯矿业,G2,73.26,10.64,沪深300,4588.2,11.84,11.28,8.96,12.04,13.16,9.83,,,,跟踪中
20260803,600961,株冶集团,G1,77.04,22.9,沪深300,4543.18,30.17,31.75,28.25,29.26,27.77,23.75,,,,跟踪中
20260803,605117,德业股份,G1,76.01,80.94,沪深300,4543.18,85.76,5.96,2.46,98.42,21.6,17.58,,,,跟踪中
20260803,601002,晋亿实业,G2,75.95,5.09,沪深300,4543.18,5.47,7.47,3.97,5.34,4.91,0.89,,,,跟踪中
20260803,603444,吉比特,G1,75.41,385.01,沪深300,4543.18,394.8,2.54,-0.95,382.92,-0.54,-4.56,,,,跟踪中
20260803,600150,中国船舶,G2,75.29,35.1,沪深300,4543.18,34.83,-0.77,-4.27,33.49,-4.59,-8.61,,,,跟踪中
20260803,688525,佰维存储,G2,75.23,206.8,沪深300,4543.18,242.0,17.02,13.53,253.18,22.43,18.41,,,,跟踪中
20260803,603629,利通电子,G2,75.19,93.1,沪深300,4543.18,125.81,35.13,31.64,136.47,46.58,42.56,,,,跟踪中
20260803,600267,海正药业,G2,74.6,11.42,沪深300,4543.18,14.24,24.69,21.2,14.05,23.03,19.01,,,,跟踪中
20260803,601600,中国铝业,G2,74.3,9.48,沪深300,4543.18,10.05,6.01,2.52,9.45,-0.32,-4.34,,,,跟踪中
20260803,600185,珠免集团,G2,74.16,4.9,沪深300,4543.18,4.77,-2.65,-6.15,4.61,-5.92,-9.94,,,,跟踪中
20260803,600989,宝丰能源,G2,73.95,22.91,沪深300,4543.18,23.9,4.32,0.83,23.55,2.79,-1.23,,,,跟踪中
20260804,600961,株冶集团,G1,76.19,24.33,沪深300,4600.93,28.58,17.47,16.1,27.43,12.74,13.01,,,,跟踪中
20260804,601002,晋亿实业,G2,76.14,5.14,沪深300,4600.93,5.35,4.09,2.72,5.22,1.56,1.82,,,,跟踪中
20260804,605117,德业股份,G1,76.03,82.48,沪深300,4600.93,91.4,10.81,9.45,94.87,15.02,15.29,,,,跟踪中
20260804,603444,吉比特,G1,75.84,392.49,沪深300,4600.93,386.25,-1.59,-2.96,384.79,-1.96,-1.7,,,,跟踪中
20260804,600150,中国船舶,G2,75.29,34.48,沪深300,4600.93,33.97,-1.48,-2.85,33.14,-3.89,-3.62,,,,跟踪中
