代码,名称,行业,评级,总分,质量分,估值分,催化分,左侧分,最新价,涨跌幅,60日涨跌幅,年初至今涨跌幅,市盈率-动态,市净率,ROE,净利同比,营收同比,毛利率,预告类型,预告变动幅度,距60日高点,20日涨跌幅,快报净利同比,换手率,流通市值,红旗
600989,宝丰能源,化学原料,G1,83.36,91.09949132835715,65.30465949820788,78.80666666666667,100.0,22.89,0.351,-13.785310734463271,,14.673,3.041,18.61,70.14,32.3321115262,37.4042878597,预增,70.525,-21.6900444748546,7.464788732394356,,0.73974,167860610400.0,
301308,江波龙,半导体,G1,78.6,75.0,44.409937888198755,100.0,100.0,406.45,2.38,-24.452936660910886,,119.194,9.253,79.03,71528.66,136.2610583659,55.5274284884,预增,30173.015,-43.79062370349883,2.6388888888888795,,5.46648,114558701503.4,
600150,中国船舶,航海装备Ⅱ,G2,77.43,38.58947826921428,83.42857142857144,100.0,100.0,33.42,-1.066,-12.133561193637432,,26.952,1.682,3.3,251.64,54.8968342488,17.4752695769,预增,167.385,-19.2851104939017,4.519155590304935,,1.18387,202907955583.8,
601002,晋亿实业,通用设备,G2,76.06,44.29624194635714,91.71127687582272,79.356,100.0,5.26,-0.567,0.5736137667303964,,21.04,1.152,1.65,25.11,-4.8727496452,31.2397387249,预增,72.585,-13.628899835796393,11.91489361702127,,1.23443,5020358187.2,
603444,吉比特,游戏Ⅱ,G1,76.04,94.22814651339756,62.66666666666667,76.4,65.0,390.3,1.574,7.089941282994028,,15.675,4.642,18.57,69.31,48.01380786,93.7665844592,预增,61.5,-1.1398176291793294,14.544814227857028,,4.54559,28117641720.3,
688525,佰维存储,半导体,G2,76.01,75.0,37.04968944099379,97.0,100.0,242.0,2.974,-19.544127718710318,,129.412,13.407,41.98,1567.8538876601,341.5280090886,53.304851341,扭亏,2948.925,-52.26824457593688,-4.294866724669788,,5.30593,114119130752.00002,
600499,科达制造,专用设备,G2,75.91,53.810107680928574,78.83720930232559,80.21866666666666,100.0,14.05,0.429,-14.53771289537713,,20.187,2.048,4.56,69.1,25.4774604405,34.3741507533,预增,75.82,-25.02668089647812,-6.333333333333324,,1.05819,26945882293.55,
600595,中孚实业,工业金属,G2,75.66,33.53341610728571,82.38244514106583,100.0,100.0,6.18,-1.435,-10.629067245119304,,15.45,1.354,10.42,165.84,34.8459302154,20.4767825502,预增,165.02,-20.8199871877002,1.1456628477904962,,1.94183,24768853604.52,
605117,德业股份,光伏设备,G2,75.48,74.63697646835715,51.757575757575744,80.60000000000001,100.0,90.31,-0.441,-24.22322724641086,,25.729,9.944,10.87,68.37,73.7675519223,41.4467670557,预增,77.25,-26.21732026143792,12.676232064878356,,0.71294,114985494861.16,
601600,XD中国铝,工业金属,G2,74.89,54.0804354945,77.17868338557994,77.46666666666667,100.0,9.26,0.325,-13.40129056392032,,12.514,1.97,7.11,56.35,4.8488062761,25.8276096923,预增,65.5,-22.4650422841832,11.660436512721573,,0.97029,122262927520.3,
688380,中微半导,半导体,G2,74.43,49.32455803607143,74.30124223602485,84.21866666666666,100.0,40.28,2.389,-20.112651474584,,56.732,4.996,1.6,48.89,57.473325435,38.4543812505,预增,90.82,-38.88636018813533,1.9488737028600545,,2.07724,16126702200.0,
600185,珠免集团,旅游零售Ⅱ,G3,74.16,100.0,9.000000000000002,87.64933333333333,100.0,4.64,-2.11,-16.84587813620072,,-8.436,101.31,40.66,142.9062823387,-23.3956105993,46.7926402061,扭亏,114.935,-22.14765100671141,4.504504504504481,,0.9755,8746426888.800001,
688183,生益电子,元件,G3,73.81,87.87893256457141,40.437580437580436,89.33333333333333,75.0,115.99,5.589,17.570142718131688,,64.439,15.848,17.95,109.36,53.4617074251,35.2055055904,预增,110.0,-17.778407882611468,2.2028372543836383,,1.98914,97152207231.66,
603317,天味食品,调味发酵品Ⅱ,G3,73.26,57.95056380671934,52.0,91.51866666666666,100.0,14.28,-2.857,-9.390862944162436,,26.513,3.189,5.36,234.67,76.1909393739,45.030770281,预增,118.195,-12.014787430683926,7.44920993227991,,1.19264,15166461173.64,
688059,华锐精密,通用设备,G3,73.0,55.35,45.5828579786456,100.0,100.0,95.21,0.634,-8.136584236272594,,44.7,6.137,12.14,178.32,19.695053535,57.2693718675,预增,174.345,-38.62250357782907,11.761943890127943,,4.55336,12473461338.32,
300867,圣元环保,环境治理,G3,72.93,57.074999999999996,71.9047619047619,71.33333333333334,100.0,16.15,-0.37,-27.927525883613,,17.679,1.09,2.83,76.09,8.4180653796,51.6443793208,预增,42.5,-32.05149781218446,-1.584399756246202,,1.54189,3094789325.3,
601500,通用股份,汽车零部件,G3,72.72,34.47753893978571,70.64030277284313,98.872,100.0,3.98,-0.251,-9.339407744874704,,30.615,1.027,2.05,23.24,0.7094610147,16.0935545157,预增,145.77,-14.775160599571734,1.5306122448979664,,0.70521,6300342925.3,
603929,亚翔集成,专业工程,G3,72.69,60.73462482842857,37.89473684210526,100.0,100.0,162.7,0.731,-8.027133973996614,,38.923,14.539,20.91,204.8,51.3555104102,25.0284747598,预增,205.61,-41.09341057204924,-5.020431990659679,,2.30656,34713672000.0,
300458,全志科技,半导体,G3,72.68,52.65852118348413,47.53105590062112,100.0,100.0,33.95,-0.644,-5.194079865959223,,106.094,10.161,6.31,121.77,47.1240656517,40.2106220415,预增,207.14,-18.6046511627907,-3.4688655103781607,,6.28741,27642348868.75,
603986,兆易创新,半导体,G3,72.22,64.224648548034,31.824534161490682,100.0,100.0,417.48,3.209,-3.170590281804464,,168.339,11.592,6.12,522.79,119.3786758368,57.0767184326,预增,791.0,-50.3,-9.86073626254992,,7.10566,279082012606.32,
300590,移为通信,通信设备,G3,72.14,28.985740082214285,73.79710144927536,100.0,100.0,11.36,1.883,-24.216144096064053,,71.0,2.781,2.79,430.64,99.2691105608,40.8150361151,预增,215.0,-30.64713064713065,5.576208178438669,,4.84359,4064773776.48,
600346,恒力石化,炼化及贸易,G3,72.14,40.76871328971031,64.3956043956044,95.22666666666666,100.0,17.13,-0.175,-8.199356913183287,,16.96,1.705,5.69,90.65,-13.7358984565,13.9763532324,预增,132.1,-23.25268817204301,13.745019920318711,,0.28658,120579779334.18,
600366,宁波韵升,金属新材料,G3,71.95,18.68429943856619,85.38461538461539,100.0,100.0,12.64,4.983,-0.0079107665532762,,41.119,2.186,1.87,213.11,33.5339561499,22.3988860185,预增,176.51,-24.89601901366606,9.342560553633229,,5.47498,13891878884.64,
300475,香农芯创,其他电子Ⅱ,G3,71.78,75.0,17.10526315789474,100.0,100.0,161.03,2.287,-9.364657676115009,,136.466,15.559,31.53,7835.06,200.596381199,9.1217457653,预增,2275.94,-47.40469284837084,-7.50717978173463,,5.75183,72484899437.73,
601688,华泰证券,证券Ⅱ,G3,71.69,41.525,82.94117647058823,74.0,100.0,19.39,-0.869,3.912111468381574,,11.208,0.983,2.61,31.79,41.4811446142,,预增,52.5,-10.39741219963032,-2.415702063412184,,0.64782,141678039675.34,疑似价值陷阱
601339,百隆东方,纺织制造,G3,71.48,44.94987446371429,78.66666666666666,73.33333333333333,100.0,7.71,-1.783,1.1811023622047223,,17.523,1.255,5.96,43.45,19.0285411198,17.0698242492,预增,50.0,-16.10446137105549,-2.405063291139242,,0.66122,11561676990.0,
688378,奥来德,光学光电子,,71.35,60.9,32.30769230769231,100.0,100.0,41.97,3.07,-11.92394862754974,,144.724,5.335,4.36,214.86,53.5496202174,54.3342634238,预增,548.035,-32.30645161290323,-0.6156760596732092,,2.41459,10113115164.87,
600872,中炬高新,调味发酵品Ⅱ,,71.24,59.20990203264286,57.99999999999999,75.9,100.0,18.77,-1.106,-3.147574819401444,,26.803,2.446,4.42,45.11,19.8761879981,42.4238628457,预增,59.625,-8.617332035053549,2.010869565217388,,1.45729,14471443821.5,
601211,国泰海通,证券Ⅱ,,71.17,39.875,88.8235294117647,100.0,60.0,17.95,-1.102,20.631720430107524,,10.316,0.967,1.95,-47.82,58.9069246145,,预增,167.5,-9.343434343434351,-1.9125683060109424,,0.40882,241411776230.8,疑似价值陷阱
601138,工业富联,消费电子,,71.11,58.4,48.49152542372882,85.86666666666667,100.0,66.19,1.472,2.066306861989209,,37.185,7.473,13.36,95.99,54.634987688,7.3505079165,预增,97.0,-17.674129353233837,16.245170354759388,,0.53996,1313480468278.0,
600711,盛屯矿业,工业金属,,71.08,50.52071182871525,65.62173458725182,78.07600000000001,100.0,11.7,-1.266,-2.1002426575182143,,18.362,2.023,10.471,71.37,39.5572034727,24.4520081834,预增,67.785,-19.92334542468004,25.13368983957218,,3.83403,36160155146.7,
688678,福立旺,消费电子,,71.0,43.63600961235714,54.65254237288135,97.0,100.0,19.05,-0.678,-23.463238248292484,,86.591,3.285,2.39,223.03,59.6263603687,27.7254134573,扭亏,489.0,-27.039448487169658,6.72268907563025,,2.74659,7679178844.05,
600961,株冶集团,工业金属,,70.99,85.06388160757143,21.901776384535005,100.0,75.0,28.75,1.806,9.816653934301002,,29.04,6.104,25.3,313.0,45.9023858305,24.0894342506,预增,221.48,-19.490338840660883,29.972875226039772,,5.29991,21614606442.5,
688385,复旦微电,半导体,,70.81,55.974999999999994,36.063664596273284,100.0,100.0,54.6,1.487,-16.631038905515183,,195.0,7.159,2.39,8.91,16.2287452137,55.2740519756,预增,364.84,-26.88022284122562,5.0808314087759765,,1.84806,29450653050.0,
300861,美畅股份,通用设备,,70.73,28.211700153571428,69.05514114377651,100.0,100.0,17.26,1.113,-14.176321416140414,,47.496,1.755,2.98,634.0,39.7059347048,39.066380215,预增,260.265,-31.564965703183844,6.9392812887236754,,2.55957,7281388001.4,
300033,同花顺,软件开发,,70.69,56.675,52.102564102564095,82.66666666666667,100.0,230.26,-0.711,-2.514817950889081,,38.634,24.794,2.67,112.58,40.8063039587,84.9881132378,预增,85.0,-11.0965250965251,6.819447021710889,,2.34855,100948497057.64,
603630,拉芳家化,化妆品,,70.38,52.849999999999994,38.0909090909091,100.0,100.0,14.94,-2.544,2.6098901098901006,,-106.714,1.782,1.14,64.47,6.2144631677,52.0708948232,预增,1552.5,-10.270270270270265,3.966597077244272,,3.00629,3364556425.2,
600288,大恒科技,软件开发,,70.14,26.435699670785716,71.84615384615385,97.0,100.0,13.22,9.983,-4.68637346791636,,55.43,2.902,2.6,720.9441275247,2.2711230496,37.9099795391,扭亏,3603.52,-23.050058207217692,5.591054313099053,,11.26072,5774496000.0,当日已大涨
300857,协创数据,消费电子,,70.12,60.683948339936,27.677966101694913,100.0,100.0,265.99,3.902,3.0968992248062044,,78.695,25.072,34.68,331.114580319635,155.687545367003,22.527321781,预增,302.73,-22.220597695771684,25.018800526414744,331.114580319635,6.0917,129499890868.02,
600309,万华化学,化学制品,,70.08,36.827174215285716,78.80256821829855,77.32,100.0,73.04,-0.096,-4.19727177334731,,18.306,2.053,3.38,20.62,25.5046732178,14.7280439014,预增,64.95,-12.579293836026316,4.283266704740152,,0.62059,228649647563.04,
601168,西部矿业,工业金属,,70.0,84.00056832728572,36.94879832810867,94.26666666666667,60.0,37.14,2.314,23.75874708430523,,24.275,3.948,20.41,123.0,24.7432887685,22.6007956582,预增,128.5,-13.7682841885303,17.345971563981056,,2.91076,88504620000.0,
603031,安孚科技,电池,,69.49,61.875,41.57081014223871,82.13866666666667,100.0,41.71,3.499,-18.487394957983195,,41.71,5.475,4.75,87.78,-3.4214592332,52.3110432313,预增,83.02,-34.06576035409421,-5.483797869929752,,3.66019,13113222290.990002,
601899,紫金矿业,工业金属,,69.4,69.67910945885714,54.00208986415883,80.0,75.0,32.53,0.993,9.86153326578858,,16.682,4.385,10.35,97.5,24.7937696755,36.3257532424,预增,75.0,-8.236953455571228,14.703808180535985,,0.94349,670176330844.2001,
603045,福达合金,金属新材料,,69.39,43.491821938,45.38461538461539,100.0,100.0,53.59,-0.741,-15.847492227002911,,67.172,5.794,15.58,3635.07,92.6730897404,16.3585507132,预增,2989.69,-42.45060137457045,-4.728888888888882,,5.28272,7258505856.45,
603681,永冠新材,化学制品,,69.01,27.525,74.40128410914927,88.60933333333332,100.0,18.74,1.903,-13.200555812876337,,27.97,1.489,1.01,104.86,3.7728138335,7.6223077453,预增,107.285,-31.33015756687432,5.696559503666099,,3.4827,4455281894.2,
600638,新黄浦,房地产开发,,68.95,41.70661181964286,57.30769230769231,88.43466666666666,100.0,4.96,-1.195,-12.814202847600631,,49.402,0.714,3.0,78.26,-14.9513003394,22.8892565475,预增,106.63,-23.326634719431137,9.492273730684332,,1.16994,3340048058.56,
300496,中科创达,IT服务Ⅱ,,68.89,43.69637101314285,69.12345679012346,74.0,100.0,59.81,0.0,-13.369061413673233,,61.08,2.653,0.99,10.6,19.0422553489,32.7099194184,预增,52.5,-19.50201884253028,6.518254674977753,,3.4205,22103796289.0,
601377,兴业证券,证券Ⅱ,,68.74,38.3,72.3529411764706,76.66666666666666,100.0,5.84,-0.68,2.0979020979021046,,18.475,0.89,1.32,52.17,13.4373518741,,预增,62.5,-5.348460291734202,-2.9900332225913595,,0.56145,50434165796.96,疑似价值陷阱
600026,中远海能,航运港口,,68.69,59.76784883357142,25.454545454545457,97.6,100.0,16.7,-0.299,-24.910071942446045,,20.213,1.895,4.5762,206.74,26.9218174806,42.658288367,预增,141.0,-27.517361111111114,17.522871217452483,,0.82134,63927465665.2,
300132,诺斯贝尔,化妆品,,68.59,34.89333686778572,63.18181818181819,89.29199999999999,100.0,6.44,-1.679,-18.481012658227847,,20.957,2.258,1.5,1048.09,14.6455110684,18.6006716149,预增,109.845,-27.9642058165548,16.24548736462095,,2.45848,3272043468.96,
601086,国芳集团,一般零售,,68.44,53.46608472214286,29.614035087719298,100.0,100.0,7.84,-1.754,-4.506699147381255,,71.273,3.204,2.57,174.14,14.7271131425,40.857518611,预增,215.705,-14.31693989071039,11.363636363636353,,1.62893,5221440000.0,
603629,利通电子,消费电子,,68.38,82.325,20.85593220338983,100.0,67.342,137.5,10.0,7.243415254303387,,122.768,22.464,12.93,821.08,41.6127791455,46.2297886932,预增,1082.575,-20.02698725666393,51.44839740059477,,18.829,49599467500.0,当日已大涨
601828,美凯龙,一般零售,,68.27,50.525,47.66666666666667,84.77333333333333,100.0,2.15,-2.715,-12.955465587044548,,-0.394,0.415,0.21,109.2864410043,-4.1458642921,66.3123247234,扭亏,104.15,-22.38267148014441,-0.4629629629629761,,1.43508,7766664813.85,疑似价值陷阱
603001,奥康国际,服装家纺,,67.89,51.87500000000001,40.42857142857143,88.88266666666667,100.0,7.49,0.537,-17.05426356589147,,-12.46,1.272,0.75,119.0931835505,-28.8789715181,46.8915595783,扭亏,119.56,-47.02970297029702,17.767295597484267,,3.04035,3003340200.0,
601872,招商轮船,航运港口,,67.89,63.40979761771428,15.454545454545453,100.0,100.0,17.05,-0.467,-2.8490028490028463,,23.041,3.055,6.28,219.31,52.9177300121,41.7937166648,预增,231.0,-21.283471837488456,22.573687994248747,,0.64132,137670881459.1,
